,比赛,时间,主队,比分,客队
388,球会友谊,2012-05-31 02:00,西班牙,4-1,韩国
389,球会友谊,2012-05-26 23:59,西班牙,2-0,塞尔维亚
390,球会友谊,2012-03-01 04:30,西班牙,5-0,委内瑞拉
391,球会友谊,2011-11-13 01:15,英格兰,1-0,西班牙
392,欧洲杯,2011-10-12 02:45,西班牙,3-1,苏格兰
393,欧洲杯,2011-10-08 02:45,捷克,0-2,西班牙
394,欧洲杯,2011-09-07 04:00,西班牙,6-0,列支敦士登
395,国际友谊,2017-11-13 22:00,委内瑞拉,0-1,伊朗
396,国际友谊,2017-11-10 02:30,伊朗,2-1,巴拿马
397,国际友谊,2017-10-05 22:45,伊朗,2-0,多哥
398,亚洲预选,2017-09-05 23:00,伊朗,2-2,叙利亚
399,亚洲预选,2017-08-31 20:00,韩国,0-0,伊朗
400,亚洲预选,2017-06-13 00:45,伊朗,2-0,乌兹别克
401,国际友谊,2017-06-05 02:30,黑山,1-2,伊朗
402,亚洲预选,2017-03-28 20:00,伊朗,1-0,中国
403,亚洲预选,2017-03-23 23:59,卡塔尔,0-1,伊朗
404,亚洲预选,2016-11-15 20:45,叙利亚,0-0,伊朗
405,亚洲预选,2016-10-11 22:45,伊朗,1-0,韩国
406,亚洲预选,2016-10-06 21:00,乌兹别克,0-1,伊朗
407,亚洲预选,2016-09-06 19:35,中国,0-0,伊朗
408,亚洲预选,2016-09-02 00:30,伊朗,2-0,卡塔尔
409,国际友谊,2016-08-19 22:00,史帕尔,0-3,伊朗
410,国际友谊,2016-06-08 00:30,伊朗,6-0,吉尔吉斯斯坦
411,国际友谊,2016-06-03 01:00,马其顿,1-3,伊朗
412,亚洲预选,2016-03-29 22:30,伊朗,2-0,阿曼
413,亚洲预选,2016-03-24 22:30,伊朗,4-0,印度
414,亚洲预选,2015-11-17 13:30,关岛,0-6,伊朗
415,亚洲预选,2015-11-12 19:30,伊朗,3-1,土库曼斯坦
416,国际友谊,2015-10-13 21:30,伊朗,1-1,日本
417,亚洲预选,2015-10-08 22:30,阿曼,1-1,伊朗
418,亚洲预选,2015-09-08 21:30,印度,0-3,伊朗
419,亚洲预选,2015-09-03 22:30,伊朗,6-0,关岛
420,国际友谊,2015-06-11 21:00,乌兹别克,0-1,伊朗
421,国际友谊,2015-04-01 01:30,瑞典,3-1,伊朗
422,国际友谊,2015-03-27 03:00,伊朗,2-0,智利
423,亚洲杯,2015-01-23 14:30,伊朗,1-1,伊拉克
424,亚洲杯,2015-01-19 17:00,伊朗,1-0,阿联酋
425,亚洲杯,2015-01-15 17:00,卡塔尔,0-1,伊朗
426,亚洲杯,2015-01-11 17:00,伊朗,2-0,巴林
427,国际友谊,2015-01-04 15:00,伊拉克,0-1,伊朗
428,国际友谊,2014-11-18 20:55,伊朗,1-0,韩国
429,世界杯,2014-06-26 00:00,波黑,3-1,伊朗
430,世界杯,2014-06-22 00:00,阿根廷,1-0,伊朗
431,世界杯,2014-06-17 03:00,伊朗,0-0,尼日利亚
432,国际友谊,2014-05-30 20:00,伊朗,1-1,安哥拉
433,国际友谊,2014-05-27 00:30,伊朗,0-0,黑山
434,国际友谊,2014-05-18 20:00,伊朗,0-0,白俄罗斯
435,国际友谊,2014-03-05 22:00,伊朗,1-2,几内亚
436,亚洲杯,2014-03-03 22:00,伊朗,3-2,科威特
437,亚洲预选,2013-06-18 20:00,韩国,0-1,伊朗
438,亚洲预选,2013-06-11 23:30,伊朗,4-0,黎巴嫩
439,亚洲预选,2013-06-05 00:15,卡塔尔,0-1,伊朗
440,亚洲预选,2012-11-15 00:30,伊朗,0-1,乌兹别克
441,亚洲预选,2012-10-17 00:30,伊朗,1-0,韩国
442,亚洲预选,2012-09-11 22:00,黎巴嫩,1-0,伊朗
443,亚洲预选,2012-06-12 23:30,伊朗,0-0,卡塔尔
444,亚洲预选,2012-06-03 22:00,乌兹别克,0-1,伊朗
445,非洲预选,2017-11-12 01:30,科特迪瓦,0-2,摩洛哥
446,国际友谊,2017-10-10 21:30,韩国,1-3,摩洛哥
447,非洲预选,2017-10-08 03:00,摩洛哥,3-0,加蓬
448,非洲预选,2017-09-06 03:00,马里,0-0,摩洛哥
449,非洲预选,2017-09-02 04:00,摩洛哥,6-0,马里
450,非洲杯,2017-06-10 22:00,喀麦隆,1-0,摩洛哥
451,国际友谊,2017-06-04 21:45,卢旺达,3-0,摩洛哥
452,国际友谊,2017-06-02 22:30,卢旺达,2-0,摩洛哥
453,国际友谊,2017-06-01 01:30,摩洛哥,1-2,荷兰
454,国际友谊,2017-03-29 02:00,摩洛哥,1-0,突尼斯
455,国际友谊,2017-03-25 04:00,摩洛哥,2-0,布基纳法索
456,国际友谊,2017-03-24 00:05,摩洛哥,2-1,冈比亚
457,非洲杯,2017-01-25 03:00,摩洛哥,1-0,科特迪瓦
458,非洲杯,2017-01-21 03:00,摩洛哥,3-1,多哥
459,非洲杯,2017-01-17 03:00,刚果民主共和国,1-0,摩洛哥
460,国际友谊,2017-01-09 22:00,摩洛哥,0-1,芬兰
461,国际友谊,2016-11-16 04:00,摩洛哥,2-1,多哥
462,非洲预选,2016-11-13 04:00,摩洛哥,0-0,科特迪瓦
463,国际友谊,2016-10-12 03:00,摩洛哥,4-0,加拿大
464,国际友谊,2016-10-11 02:00,摩洛哥,2-1,约旦
465,非洲预选,2016-10-08 23:00,加蓬,0-0,摩洛哥
466,非洲杯,2016-09-05 03:00,摩洛哥,2-0,圣多美与普林西比
467,国际友谊,2016-09-01 02:40,阿尔巴尼亚,0-0,摩洛哥
468,非洲杯,2016-06-04 02:00,利比亚,1-1,摩洛哥
469,国际友谊,2016-05-28 02:00,摩洛哥,2-0,刚果
470,非洲杯,2016-03-30 03:00,摩洛哥,2-0,佛得角
471,非洲杯,2016-03-27 01:00,佛得角,0-1,摩洛哥
472,非国锦标,2016-01-24 22:00,卢旺达,1-4,摩洛哥
473,非国锦标,2016-01-20 23:59,摩洛哥,0-1,科特迪瓦
474,非洲预选,2015-11-13 03:00,摩洛哥,2-0,赤道几内亚
475,非国锦标,2015-10-26 01:00,突尼斯,2-3,摩洛哥
476,非国锦标,2015-10-23 01:00,利比亚,0-4,摩洛哥
477,国际友谊,2015-10-13 03:00,摩洛哥,1-1,几内亚
478,国际友谊,2015-10-10 02:00,摩洛哥,0-1,科特迪瓦
479,非国锦标,2015-06-22 06:00,摩洛哥,3-0,利比亚
480,非国锦标,2015-06-16 04:00,摩洛哥,1-1,突尼斯
481,非洲杯,2015-06-13 03:00,摩洛哥,1-0,利比亚
482,国际友谊,2015-03-31 02:30,摩洛哥,1-2,布基纳法索
483,国际友谊,2015-03-28 03:00,摩洛哥,2-0,刚果
484,国际友谊,2014-11-17 04:00,摩洛哥,2-1,津巴布韦
485,国际友谊,2014-11-15 03:00,摩洛哥,0-0,卢旺达
486,国际友谊,2014-11-14 04:00,摩洛哥,6-1,贝宁
487,国际友谊,2014-10-14 03:00,摩洛哥,3-0,肯尼亚
488,国际友谊,2014-10-13 02:00,摩洛哥,5-0,毛里塔尼亚
489,国际友谊,2014-10-10 03:00,摩洛哥,4-0,中非共和国
490,国际友谊,2014-09-08 03:00,摩洛哥,3-0,利比亚
491,国际友谊,2014-09-04 03:00,摩洛哥,0-0,卡塔尔
492,国际友谊,2014-05-29 03:00,安哥拉,2-0,摩洛哥
493,国际友谊,2014-05-24 03:10,摩洛哥,4-0,莫桑比克
494,国际友谊,2014-03-06 03:00,摩洛哥,1-1,加蓬
495,欧洲预选,2017-11-15 03:45,爱尔兰,1-5,丹麦
496,欧洲预选,2017-11-12 03:45,丹麦,0-0,爱尔兰
497,欧洲预选,2017-10-08 23:59,丹麦,1-1,罗马尼亚
498,欧洲预选,2017-10-06 02:45,黑山,0-1,丹麦
499,欧洲预选,2017-09-04 23:59,阿美尼亚,1-4,丹麦
500,欧洲预选,2017-09-02 02:45,丹麦,4-0,波兰
501,欧洲预选,2017-06-10 23:59,哈萨克斯坦,1-3,丹麦
502,国际友谊,2017-06-07 02:45,丹麦,1-1,德国
503,欧洲预选,2017-03-27 02:45,罗马尼亚,0-0,丹麦
504,国际友谊,2016-11-16 03:30,捷克,1-1,丹麦
505,欧洲预选,2016-11-12 03:45,丹麦,4-1,哈萨克斯坦
506,欧洲预选,2016-10-12 02:45,丹麦,0-1,黑山
507,欧洲预选,2016-10-09 02:45,波兰,3-2,丹麦
508,欧洲预选,2016-09-04 23:59,丹麦,1-0,阿美尼亚
509,国际友谊,2016-09-01 02:00,丹麦,5-0,列支敦士登
510,麒麟杯,2016-06-07 15:00,丹麦,4-0,保加利亚
511,麒麟杯,2016-06-03 15:00,丹麦,2-2,波黑
512,国际友谊,2016-03-30 03:00,苏格兰,1-0,丹麦
513,国际友谊,2016-03-25 03:00,丹麦,2-1,冰岛
514,欧洲杯,2015-11-18 03:45,丹麦,2-2,瑞典
515,欧洲杯,2015-11-15 03:45,瑞典,2-1,丹麦
516,国际友谊,2015-10-12 02:45,丹麦,1-2,法国
517,欧洲杯,2015-09-07 23:59,阿美尼亚,0-0,丹麦
518,欧洲杯,2015-09-05 02:45,丹麦,0-0,阿尔巴尼亚
519,欧洲杯,2015-06-14 02:45,丹麦,2-0,塞尔维亚
520,国际友谊,2015-06-09 02:00,丹麦,2-1,黑山
521,国际友谊,2015-03-30 03:00,法国,2-0,丹麦
522,国际友谊,2015-03-26 03:15,丹麦,3-2,美国
523,国际友谊,2014-11-19 02:30,罗马尼亚,2-0,丹麦
524,欧洲杯,2014-11-15 03:45,塞尔维亚,1-3,丹麦
525,欧洲杯,2014-10-12 02:45,阿尔巴尼亚,1-1,丹麦
526,欧洲杯,2014-09-07 23:59,丹麦,2-1,阿美尼亚
527,国际友谊,2014-09-04 02:00,丹麦,1-2,土耳其
528,国际友谊,2014-05-29 02:15,丹麦,1-0,瑞典
529,国际友谊,2014-05-23 02:15,匈牙利,2-2,丹麦
530,国际友谊,2014-03-06 04:00,英格兰,1-0,丹麦
531,球会友谊,2013-11-16 02:00,丹麦,2-1,挪威
532,欧洲预选,2013-10-16 02:15,丹麦,6-0,马耳他
533,欧洲预选,2013-10-12 02:15,丹麦,2-2,意大利
534,欧洲预选,2013-09-10 23:59,阿美尼亚,0-1,丹麦
535,欧洲预选,2013-09-07 02:00,马耳他,1-2,丹麦
536,球会友谊,2013-08-15 02:45,波兰,3-2,丹麦
537,欧洲预选,2013-06-12 02:15,丹麦,0-4,阿美尼亚
538,欧洲预选,2013-03-27 03:15,丹麦,1-1,保加利亚
539,欧洲预选,2013-03-23 03:30,捷克,0-3,丹麦
540,球会友谊,2012-11-15 03:00,土耳其,1-1,丹麦
541,欧洲预选,2012-10-17 02:45,意大利,3-1,丹麦
542,欧洲预选,2012-10-13 02:00,保加利亚,1-1,丹麦
543,欧洲预选,2012-09-09 02:15,丹麦,0-0,捷克
544,欧洲杯,2012-06-18 02:45,丹麦,1-2,德国
545,欧洲杯,2012-06-09 23:59,荷兰,0-1,丹麦
546,球会友谊,2012-06-02 23:00,丹麦,2-0,澳大利亚
547,球会友谊,2012-05-26 21:30,丹麦,1-3,巴西
548,欧洲杯,2011-10-08 02:30,塞浦路斯,1-4,丹麦
549,欧洲杯,2011-09-07 02:15,丹麦,2-0,挪威
550,国际友谊,2017-11-15 03:45,德国,2-2,法国
551,国际友谊,2017-11-11 04:00,法国,2-0,威尔士
552,欧洲预选,2017-10-11 02:45,法国,2-1,白俄罗斯
553,欧洲预选,2017-10-08 02:45,保加利亚,0-1,法国
554,欧洲预选,2017-09-04 02:45,法国,0-0,卢森堡
555,欧洲预选,2017-09-01 02:45,法国,4-0,荷兰
556,国际友谊,2017-06-14 03:00,法国,3-2,英格兰
557,欧洲预选,2017-06-10 02:45,瑞典,2-1,法国
558,国际友谊,2017-06-03 03:00,法国,5-0,巴拉圭
559,欧洲预选,2017-03-26 03:45,卢森堡,1-3,法国
560,国际友谊,2016-11-16 04:00,法国,0-0,科特迪瓦
561,欧洲预选,2016-11-12 03:45,法国,2-1,瑞典
562,欧洲预选,2016-10-11 02:45,荷兰,0-1,法国
563,欧洲预选,2016-10-08 02:45,法国,4-1,保加利亚
564,欧洲预选,2016-09-07 02:45,白俄罗斯,0-0,法国
565,国际友谊,2016-09-02 03:00,意大利,1-3,法国
566,欧洲杯,2016-07-08 03:00,法国,2-0,德国
567,欧洲杯,2016-07-04 03:00,法国,5-2,冰岛
568,欧洲杯,2016-06-26 21:00,法国,2-1,爱尔兰
569,欧洲杯,2016-06-20 03:00,法国,0-0,瑞士
570,欧洲杯,2016-06-16 03:00,法国,2-0,阿尔巴尼亚
571,欧洲杯,2016-06-11 03:00,法国,2-1,罗马尼亚
572,国际友谊,2016-06-05 03:00,法国,3-0,苏格兰
573,国际友谊,2016-05-31 03:00,法国,3-2,喀麦隆
574,国际友谊,2016-03-26 03:45,荷兰,2-3,法国
575,国际友谊,2015-11-18 04:00,英格兰,2-0,法国
576,国际友谊,2015-11-14 04:00,法国,2-0,德国
577,国际友谊,2015-10-09 02:45,法国,4-0,阿美尼亚
578,国际友谊,2015-09-08 02:45,法国,2-1,塞尔维亚
579,国际友谊,2015-06-13 23:59,阿尔巴尼亚,1-0,法国
580,国际友谊,2015-06-08 03:00,法国,3-4,比利时
581,国际友谊,2015-03-27 04:00,法国,1-3,巴西
582,国际友谊,2014-11-19 04:00,法国,1-0,瑞典
583,国际友谊,2014-11-15 03:45,法国,1-1,阿尔巴尼亚
584,国际友谊,2014-10-14 23:59,阿美尼亚,0-3,法国
585,国际友谊,2014-09-08 02:45,塞尔维亚,1-1,法国
586,世界杯,2014-07-05 00:00,德国,1-0,法国
587,世界杯,2014-07-01 00:00,法国,2-0,尼日利亚
588,世界杯,2014-06-26 04:00,厄瓜多尔,0-0,法国
589,世界杯,2014-06-21 03:00,瑞士,2-5,法国
590,世界杯,2014-06-16 03:00,法国,3-0,洪都拉斯
591,国际友谊,2014-06-09 03:00,法国,8-0,牙买加
592,国际友谊,2014-06-02 03:00,法国,1-1,巴拉圭
593,国际友谊,2014-05-28 03:00,法国,4-0,挪威
594,国际友谊,2014-03-06 04:00,法国,2-0,荷兰
595,欧洲预选,2013-11-20 04:00,法国,3-0,乌克兰
596,欧洲预选,2013-11-16 03:45,乌克兰,2-0,法国
597,欧洲预选,2013-10-16 03:00,法国,3-0,芬兰
598,欧洲预选,2013-09-11 03:00,白俄罗斯,2-4,法国
599,欧洲预选,2013-09-07 02:15,格鲁吉亚,0-0,法国
600,球会友谊,2013-08-15 03:00,比利时,0-0,法国
601,球会友谊,2013-06-10 03:00,巴西,3-0,法国
602,欧洲预选,2013-03-23 04:00,法国,3-1,格鲁吉亚
603,球会友谊,2013-02-07 04:00,法国,1-2,德国
604,球会友谊,2012-11-15 03:50,意大利,1-2,法国
605,欧洲预选,2012-09-12 03:00,法国,3-1,白俄罗斯
606,欧洲预选,2012-09-08 02:30,芬兰,0-1,法国
607,欧洲杯,2012-06-20 02:45,瑞典,2-0,法国
608,欧洲杯,2012-06-15 23:59,乌克兰,0-2,法国
609,欧洲杯,2012-06-11 23:59,法国,1-1,英格兰
610,球会友谊,2012-06-01 03:00,法国,2-0,塞尔维亚
611,球会友谊,2012-05-28 03:00,法国,3-2,冰岛
612,球会友谊,2012-03-01 03:45,德国,1-2,法国
613,欧洲杯,2011-10-12 03:00,法国,1-1,波黑
614,欧洲杯,2011-10-08 03:00,法国,3-0,阿尔巴尼亚
615,欧洲杯,2011-09-07 02:30,罗马尼亚,0-0,法国
616,欧洲杯,2011-09-03 03:00,阿尔巴尼亚,1-2,法国
617,世界杯附,2017-11-16 10:15,秘鲁,2-0,新西兰
618,世界杯附,2017-11-11 11:15,新西兰,0-0,秘鲁
619,南美预选,2017-10-11 07:30,秘鲁,1-1,哥伦比亚
620,南美预选,2017-10-06 07:30,阿根廷,0-0,秘鲁
621,南美预选,2017-09-06 05:00,厄瓜多尔,1-2,秘鲁
622,南美预选,2017-09-01 10:15,秘鲁,2-1,玻利维亚
623,国际友谊,2017-06-14 08:30,秘鲁,3-1,牙买加
624,国际友谊,2017-06-09 05:00,秘鲁,1-0,巴拉圭
625,南美预选,2017-03-24 07:30,委内瑞拉,2-2,秘鲁
626,南美预选,2016-11-16 10:15,秘鲁,0-2,巴西
627,南美预选,2016-11-11 07:30,巴拉圭,1-4,秘鲁
628,南美预选,2016-10-12 07:30,智利,2-1,秘鲁
629,南美预选,2016-10-07 10:15,秘鲁,2-2,阿根廷
630,南美预选,2016-09-07 10:15,秘鲁,2-1,厄瓜多尔
631,南美预选,2016-09-02 04:00,玻利维亚,0-3,秘鲁
632,美洲杯,2016-06-18 08:00,秘鲁,0-0,哥伦比亚
633,美洲杯,2016-06-13 08:55,巴西,0-1,秘鲁
634,美洲杯,2016-06-09 10:00,厄瓜多尔,2-2,秘鲁
635,美洲杯,2016-06-05 07:30,秘鲁,1-0,海地
636,国际友谊,2016-05-29 08:10,秘鲁,3-1,萨尔瓦多
637,国际友谊,2016-05-24 09:35,秘鲁,4-0,特立尼达和多巴哥
638,南美预选,2016-03-25 10:15,秘鲁,2-2,委内瑞拉
639,南美预选,2015-11-18 08:00,巴西,3-0,秘鲁
640,南美预选,2015-11-14 10:15,秘鲁,1-0,巴拉圭
641,南美预选,2015-10-14 10:15,秘鲁,3-4,智利
642,南美预选,2015-10-09 04:30,哥伦比亚,2-0,秘鲁
643,国际友谊,2015-09-09 08:10,哥伦比亚,1-1,秘鲁
644,国际友谊,2015-09-05 07:30,美国,2-1,秘鲁
645,美洲杯,2015-07-04 07:30,巴拉圭,0-2,秘鲁
646,美洲杯,2015-06-30 07:30,智利,2-1,秘鲁
647,美洲杯,2015-06-26 07:30,玻利维亚,1-3,秘鲁
648,美洲杯,2015-06-22 03:00,哥伦比亚,0-0,秘鲁
649,美洲杯,2015-06-19 07:30,秘鲁,1-0,委内瑞拉
650,美洲杯,2015-06-15 05:30,巴西,2-1,秘鲁
651,国际友谊,2015-06-04 09:05,秘鲁,1-1,墨西哥
652,国际友谊,2014-11-19 09:00,秘鲁,2-1,巴拉圭
653,国际友谊,2014-11-15 07:00,巴拉圭,2-1,秘鲁
654,国际友谊,2014-10-15 09:00,秘鲁,1-0,危地马拉
655,国际友谊,2014-10-11 07:00,智利,3-0,秘鲁
656,国际友谊,2014-09-09 23:30,卡塔尔,0-2,秘鲁
657,国际友谊,2014-09-04 23:30,伊拉克,0-2,秘鲁
658,球会友谊,2014-08-07 09:00,秘鲁,3-0,巴拿马
659,国际友谊,2014-06-04 02:30,瑞士,2-0,秘鲁
660,国际友谊,2014-05-31 03:00,英格兰,3-0,秘鲁
661,南美预选,2013-10-16 10:15,秘鲁,1-1,玻利维亚
662,南美预选,2013-10-12 07:00,阿根廷,3-1,秘鲁
663,南美预选,2013-09-11 08:00,委内瑞拉,3-2,秘鲁
664,南美预选,2013-06-12 04:30,哥伦比亚,2-0,秘鲁
665,南美预选,2013-06-08 10:10,秘鲁,1-0,厄瓜多尔
666,南美预选,2013-03-23 10:10,秘鲁,1-0,智利
667,南美预选,2012-10-17 06:00,巴拉圭,1-0,秘鲁
668,南美预选,2012-10-13 04:00,玻利维亚,1-1,秘鲁
669,南美预选,2012-09-12 09:25,秘鲁,1-1,阿根廷
670,南美预选,2012-09-08 09:25,秘鲁,2-1,委内瑞拉
671,南美预选,2011-11-16 05:00,厄瓜多尔,2-0,秘鲁
672,南美预选,2011-10-12 06:45,智利,4-2,秘鲁
673,美洲杯,2011-07-24 03:00,秘鲁,4-1,委内瑞拉
674,美洲杯,2011-07-17 03:00,哥伦比亚,0-0,秘鲁
675,美洲杯,2011-07-13 06:15,智利,1-0,秘鲁
676,美洲杯,2011-07-09 08:45,秘鲁,1-0,墨西哥
677,世界杯附,2017-11-15 17:00,澳大利亚,3-1,洪都拉斯
678,世界杯附,2017-11-11 06:00,洪都拉斯,0-0,澳大利亚
679,亚洲预选,2017-10-10 17:00,澳大利亚,1-1,叙利亚
680,亚洲预选,2017-10-05 20:30,叙利亚,1-1,澳大利亚
681,亚洲预选,2017-09-05 18:00,澳大利亚,2-1,泰国
682,亚洲预选,2017-08-31 18:35,日本,2-0,澳大利亚
683,洲际杯,2017-06-25 23:00,智利,1-1,澳大利亚
684,洲际杯,2017-06-22 23:00,喀麦隆,1-1,澳大利亚
685,洲际杯,2017-06-19 23:00,澳大利亚,2-3,德国
686,国际友谊,2017-06-13 18:05,澳大利亚,0-4,巴西
687,亚洲预选,2017-03-28 17:00,澳大利亚,2-0,阿联酋
688,亚洲预选,2017-03-23 20:00,伊拉克,1-1,澳大利亚
689,亚洲预选,2016-11-15 20:00,泰国,2-2,澳大利亚
690,亚洲预选,2016-10-11 17:00,澳大利亚,1-1,日本
691,亚洲预选,2016-09-06 23:30,阿联酋,0-1,澳大利亚
692,亚洲预选,2016-09-01 18:30,澳大利亚,2-0,伊拉克
693,国际友谊,2016-06-07 18:00,澳大利亚,1-2,希腊
694,国际友谊,2016-06-04 18:10,澳大利亚,1-0,希腊
695,国际友谊,2016-05-28 02:45,英格兰,2-1,澳大利亚
696,亚洲预选,2016-03-29 17:00,澳大利亚,5-1,约旦
697,亚洲预选,2016-03-24 17:00,澳大利亚,7-0,塔吉克斯坦
698,亚洲预选,2015-11-17 19:30,孟加拉国,0-4,澳大利亚
699,亚洲预选,2015-11-12 17:00,澳大利亚,3-0,吉尔吉斯斯坦
700,亚洲预选,2015-10-08 22:00,约旦,2-0,澳大利亚
701,亚洲预选,2015-09-08 21:00,塔吉克斯坦,0-3,澳大利亚
702,亚洲预选,2015-09-03 19:00,澳大利亚,5-0,孟加拉国
703,亚洲预选,2015-06-16 22:00,吉尔吉斯斯坦,1-2,澳大利亚
704,国际友谊,2015-03-31 03:00,马其顿,0-0,澳大利亚
705,国际友谊,2015-03-26 03:30,德国,2-2,澳大利亚
706,亚洲杯,2015-01-31 17:00,澳大利亚,1-1,韩国
707,亚洲杯,2015-01-27 17:00,澳大利亚,2-0,阿联酋
708,亚洲杯,2015-01-22 18:30,澳大利亚,2-0,中国
709,亚洲杯,2015-01-17 17:00,澳大利亚,0-1,韩国
710,亚洲杯,2015-01-13 17:00,澳大利亚,4-0,阿曼
711,亚洲杯,2015-01-09 17:00,澳大利亚,4-1,科威特
712,国际友谊,2014-11-18 18:20,日本,2-1,澳大利亚
713,国际友谊,2014-10-14 23:59,卡塔尔,1-0,澳大利亚
714,国际友谊,2014-10-10 22:30,阿联酋,0-0,澳大利亚
715,国际友谊,2014-09-05 02:45,比利时,2-0,澳大利亚
716,世界杯,2014-06-19 00:00,澳大利亚,2-3,荷兰
717,世界杯,2014-06-14 06:00,智利,3-1,澳大利亚
718,国际友谊,2014-06-07 07:00,克罗地亚,1-0,澳大利亚
719,国际友谊,2014-05-26 17:30,澳大利亚,1-1,南非
720,国际友谊,2014-03-06 04:00,澳大利亚,3-4,厄瓜多尔
721,亚洲预选,2013-06-18 17:30,澳大利亚,1-0,伊拉克
722,亚洲预选,2013-06-11 17:00,澳大利亚,4-0,约旦
723,亚洲预选,2013-06-04 18:30,日本,1-1,澳大利亚
724,亚洲预选,2013-03-26 16:30,澳大利亚,2-2,阿曼
725,球会友谊,2013-02-07 03:45,罗马尼亚,3-2,澳大利亚
726,亚洲预选,2012-10-16 22:15,伊拉克,1-2,澳大利亚
727,亚洲预选,2012-09-11 23:59,约旦,2-1,澳大利亚
728,球会友谊,2012-08-16 03:00,苏格兰,3-1,澳大利亚
729,亚洲预选,2012-06-12 18:00,澳大利亚,1-1,日本
730,亚洲预选,2012-06-08 21:00,阿曼,0-0,澳大利亚
731,国际友谊,2017-11-15 00:30,卡塔尔,1-1,冰岛
732,国际友谊,2017-11-08 22:45,冰岛,1-2,捷克
733,欧洲预选,2017-10-10 02:45,冰岛,2-0,科索沃
734,欧洲预选,2017-10-07 02:45,土耳其,0-3,冰岛
735,欧洲预选,2017-09-06 02:45,冰岛,2-0,乌克兰
736,欧洲预选,2017-09-02 23:59,芬兰,1-0,冰岛
737,欧洲预选,2017-06-12 02:45,冰岛,1-0,克罗地亚
738,国际友谊,2017-03-29 02:45,爱尔兰,0-1,冰岛
739,欧洲预选,2017-03-25 03:45,科索沃,1-2,冰岛
740,国际友谊,2017-02-09 11:10,墨西哥,1-0,冰岛
741,中国杯,2017-01-15 15:35,冰岛,0-1,智利
742,中国杯,2017-01-10 20:00,中国,0-2,冰岛
743,国际友谊,2016-11-16 02:00,马耳他,0-2,冰岛
744,欧洲预选,2016-11-13 01:00,克罗地亚,2-0,冰岛
745,欧洲预选,2016-10-10 02:45,冰岛,2-0,土耳其
746,欧洲预选,2016-10-07 02:45,冰岛,3-2,芬兰
747,欧洲预选,2016-09-06 02:45,乌克兰,1-1,冰岛
748,欧洲杯,2016-06-28 03:00,英格兰,1-2,冰岛
749,欧洲杯,2016-06-22 23:59,冰岛,2-1,奥地利
750,欧洲杯,2016-06-18 23:59,冰岛,1-1,匈牙利
751,国际友谊,2016-06-07 03:30,冰岛,4-0,列支敦士登
752,国际友谊,2016-06-02 01:45,挪威,3-2,冰岛
753,国际友谊,2016-03-30 01:30,希腊,2-3,冰岛
754,国际友谊,2016-02-01 05:00,美国,3-2,冰岛
755,球会友谊,2016-01-16 22:15,阿联酋,2-1,冰岛
756,国际友谊,2016-01-13 23:59,芬兰,0-1,冰岛
757,国际友谊,2015-11-18 03:45,斯洛伐克,3-1,冰岛
758,国际友谊,2015-11-14 03:45,波兰,4-2,冰岛
759,欧洲杯,2015-10-14 02:45,土耳其,1-0,冰岛
760,欧洲杯,2015-10-10 23:59,冰岛,2-2,拉脱维亚
761,欧洲杯,2015-09-07 02:45,冰岛,0-0,哈萨克斯坦
762,欧洲杯,2015-09-04 02:45,荷兰,0-1,冰岛
763,欧洲杯,2015-06-13 02:45,冰岛,2-1,捷克
764,国际友谊,2015-04-01 00:10,爱沙尼亚,1-1,冰岛
765,欧洲杯,2015-03-28 23:00,哈萨克斯坦,0-3,冰岛
766,国际友谊,2015-01-20 05:00,加拿大,1-1,冰岛
767,国际友谊,2015-01-17 05:30,加拿大,1-2,冰岛
768,欧洲杯,2014-11-17 03:45,捷克,2-1,冰岛
769,国际友谊,2014-11-13 03:45,比利时,3-1,冰岛
770,欧洲杯,2014-10-14 02:45,冰岛,2-0,荷兰
771,欧洲杯,2014-10-11 02:45,拉脱维亚,0-3,冰岛
772,欧洲杯,2014-09-10 02:45,冰岛,3-0,土耳其
773,国际友谊,2014-06-05 03:15,冰岛,1-0,爱沙尼亚
774,国际友谊,2014-05-31 02:30,奥地利,1-1,冰岛
775,国际友谊,2014-03-06 03:45,威尔士,3-1,冰岛
776,欧洲预选,2013-11-20 03:15,克罗地亚,2-0,冰岛
777,欧洲预选,2013-11-16 03:00,冰岛,0-0,克罗地亚
778,欧洲预选,2013-10-16 02:00,挪威,1-1,冰岛
779,欧洲预选,2013-10-12 02:45,冰岛,2-0,塞浦路斯
780,欧洲预选,2013-09-11 03:00,冰岛,2-1,阿尔巴尼亚
781,欧洲预选,2013-09-07 02:30,瑞士,4-4,冰岛
782,欧洲预选,2013-06-08 03:00,冰岛,2-4,斯洛文尼亚
783,欧洲预选,2013-03-23 01:00,斯洛文尼亚,1-2,冰岛
784,欧洲预选,2012-10-17 02:30,冰岛,0-2,瑞士
785,欧洲预选,2012-10-13 01:00,阿尔巴尼亚,1-2,冰岛
786,欧洲预选,2012-09-12 01:00,塞浦路斯,1-0,冰岛
787,欧洲预选,2012-09-08 02:45,冰岛,2-0,挪威
788,球会友谊,2012-05-31 02:15,瑞典,3-2,冰岛
789,球会友谊,2012-03-01 01:00,黑山,2-1,冰岛
790,欧洲杯,2011-09-07 02:45,冰岛,1-0,塞浦路斯
791,欧洲杯,2011-09-03 02:00,挪威,1-0,冰岛
